<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221201;110000;168.0000000;168.7600000;167.9000000;168.0500000;2159440
GAZP;60;20221201;120000;168.0500000;168.0500000;167.2200000;167.4000000;2178290
GAZP;60;20221201;130000;167.4100000;167.4400000;166.6700000;167.1400000;2059070
GAZP;60;20221201;140000;167.1100000;167.1800000;166.8200000;166.8800000;974380
GAZP;60;20221201;150000;166.8900000;167.4100000;166.8500000;167.1700000;822830
GAZP;60;20221201;160000;167.1600000;167.1900000;166.9200000;167.0800000;674820
GAZP;60;20221201;170000;167.0900000;167.1000000;166.8800000;167.0100000;739390
GAZP;60;20221201;180000;167.0000000;167.0100000;166.9700000;166.9900000;752460
GAZP;60;20221201;190000;166.9900000;167.0100000;166.9100000;167.0000000;553990
GAZP;60;20221201;200000;167.2500000;167.2500000;166.3100000;166.9300000;402270
GAZP;60;20221201;210000;166.9400000;167.0000000;166.8100000;166.9600000;214030
GAZP;60;20221201;220000;166.9200000;167.0000000;166.8300000;166.9800000;162350
GAZP;60;20221201;230000;166.9800000;167.0000000;166.8900000;166.9400000;155010
GAZP;60;20221202;000000;166.9100000;167.0000000;166.8800000;166.9800000;101400
GAZP;60;20221202;110000;167.0000000;167.1900000;164.5500000;165.5900000;9230840
GAZP;60;20221202;120000;165.5900000;165.8700000;165.2400000;165.5800000;1539920
GAZP;60;20221202;130000;165.5800000;165.6000000;164.9900000;165.2400000;1642810
GAZP;60;20221202;140000;165.2500000;165.2500000;164.2000000;164.3800000;1924470
GAZP;60;20221202;150000;164.4000000;165.1800000;164.1800000;165.0600000;1393560
GAZP;60;20221202;160000;165.0400000;165.5000000;165.0000000;165.3300000;849290
GAZP;60;20221202;170000;165.3300000;166.0000000;165.2700000;165.5900000;1110120
GAZP;60;20221202;180000;165.6000000;165.9000000;165.3400000;165.8700000;786630
GAZP;60;20221202;190000;165.8700000;166.2500000;165.6400000;166.0800000;950020
GAZP;60;20221202;200000;166.0700000;166.2000000;165.6700000;165.8600000;313930
GAZP;60;20221202;210000;165.8600000;166.0700000;165.6600000;165.9700000;195510
GAZP;60;20221202;220000;165.9800000;166.0100000;165.7100000;165.8400000;134740
GAZP;60;20221202;230000;165.8400000;165.8900000;165.7100000;165.7800000;122170
GAZP;60;20221203;000000;165.8000000;166.0000000;165.7600000;165.8600000;176590
GAZP;60;20221205;110000;165.5800000;167.2000000;164.5800000;166.7000000;3999820
GAZP;60;20221205;120000;166.7100000;166.9600000;165.6900000;165.8600000;1363070
GAZP;60;20221205;130000;165.8900000;165.9500000;165.5000000;165.6200000;693220
GAZP;60;20221205;140000;165.6300000;166.4000000;165.5600000;166.1600000;1233720
GAZP;60;20221205;150000;166.2100000;166.2400000;165.8500000;166.0400000;960080
GAZP;60;20221205;160000;166.0400000;166.3000000;165.9000000;166.0100000;631780
GAZP;60;20221205;170000;166.0100000;166.0100000;165.3000000;165.6800000;778380
GAZP;60;20221205;180000;165.7000000;165.8700000;165.4100000;165.6600000;444400
GAZP;60;20221205;190000;165.6900000;165.6900000;165.3400000;165.6100000;677680
GAZP;60;20221205;200000;165.7500000;165.7500000;165.2700000;165.4800000;307990
GAZP;60;20221205;210000;165.5000000;165.5200000;165.1000000;165.3000000;230800
GAZP;60;20221205;220000;165.3100000;165.3600000;165.1000000;165.1000000;331480
GAZP;60;20221205;230000;165.1100000;165.2600000;165.0100000;165.0400000;333380
GAZP;60;20221206;000000;165.0300000;165.3400000;165.0200000;165.0300000;269570
GAZP;60;20221206;110000;165.0300000;165.4300000;163.1200000;163.9000000;4388970
GAZP;60;20221206;120000;163.9000000;164.0400000;163.3000000;163.9000000;1682160
GAZP;60;20221206;130000;163.8800000;163.9900000;163.6800000;163.8800000;448710
GAZP;60;20221206;140000;163.8800000;164.2900000;163.8200000;163.9500000;620630
GAZP;60;20221206;150000;163.9500000;164.4800000;163.9400000;164.4400000;615470
GAZP;60;20221206;160000;164.4500000;164.7000000;164.3500000;164.4700000;728640
GAZP;60;20221206;170000;164.4600000;165.6800000;164.3200000;165.2000000;1642000
GAZP;60;20221206;180000;165.1900000;165.5000000;164.7800000;164.9900000;1204230
GAZP;60;20221206;190000;165.0000000;165.0000000;164.5200000;165.0000000;872510
GAZP;60;20221206;200000;165.0000000;165.1400000;164.5000000;164.5900000;195060
GAZP;60;20221206;210000;164.5900000;164.5900000;164.1100000;164.3200000;236750
GAZP;60;20221206;220000;164.3200000;164.3700000;164.2600000;164.3400000;491940
GAZP;60;20221206;230000;164.3400000;164.4200000;164.2700000;164.3700000;127220
GAZP;60;20221207;000000;164.3700000;164.3700000;164.2600000;164.3000000;212210
GAZP;60;20221207;110000;164.2800000;164.3300000;163.0100000;163.3400000;2716430
GAZP;60;20221207;120000;163.3400000;163.6700000;162.7000000;163.1600000;1448390
GAZP;60;20221207;130000;163.1600000;163.3300000;162.9000000;163.1700000;887960
GAZP;60;20221207;140000;163.1600000;163.5500000;163.0300000;163.1200000;485930
GAZP;60;20221207;150000;163.1300000;163.2000000;163.0300000;163.0600000;435120
GAZP;60;20221207;160000;163.0600000;163.5200000;163.0000000;163.2400000;877730
GAZP;60;20221207;170000;163.2400000;164.1000000;163.1400000;163.9800000;1712680
GAZP;60;20221207;180000;164.0000000;164.2500000;163.5400000;164.1100000;1091630
GAZP;60;20221207;190000;164.1100000;164.2000000;163.9500000;164.1900000;667370
GAZP;60;20221207;200000;164.1800000;164.2500000;163.7200000;163.9300000;287010
GAZP;60;20221207;210000;163.9400000;164.0100000;163.6000000;163.7000000;208860
GAZP;60;20221207;220000;163.7300000;164.2000000;163.6900000;163.9500000;151940
GAZP;60;20221207;230000;163.9100000;163.9500000;163.7200000;163.8500000;70160
GAZP;60;20221208;000000;163.8700000;163.8700000;163.6600000;163.7000000;169500
GAZP;60;20221208;110000;163.6700000;163.9900000;163.1200000;163.1200000;1341020
GAZP;60;20221208;120000;163.1200000;163.4000000;163.0200000;163.0900000;586860
GAZP;60;20221208;130000;163.1000000;163.5000000;162.7100000;163.0800000;1307730
GAZP;60;20221208;140000;163.0800000;163.2000000;162.8100000;162.9700000;688840
GAZP;60;20221208;150000;162.9800000;163.2000000;162.9300000;163.1000000;639150
GAZP;60;20221208;160000;163.1000000;163.1500000;162.9000000;162.9100000;666940
GAZP;60;20221208;170000;162.9300000;163.1100000;162.8000000;163.0000000;714430
GAZP;60;20221208;180000;163.0000000;163.4700000;162.9800000;163.2700000;844040
GAZP;60;20221208;190000;163.2600000;163.7500000;163.2500000;163.7500000;938800
GAZP;60;20221208;200000;163.4500000;163.7300000;163.3400000;163.4300000;381870
GAZP;60;20221208;210000;163.4000000;163.4400000;163.1000000;163.3400000;213380
GAZP;60;20221208;220000;163.3400000;163.4000000;163.0200000;163.1700000;174340
GAZP;60;20221208;230000;163.1600000;163.2100000;162.9400000;163.0700000;207300
GAZP;60;20221209;000000;163.0700000;163.1400000;162.9900000;163.0000000;131590
GAZP;60;20221209;110000;163.0000000;163.4800000;162.8100000;162.9900000;684680
